main_product_category,total_orders,late_orders,late_delivery_rate_percent,avg_review_score,avg_freight_value,avg_item_value,avg_product_weight_g
agro_industry_and_commerce,177,7,3.95,4.11,31.85,398.68,3984.58
air_conditioning,246,10,4.07,4.12,26.8,217.51,3915.9
art,194,12,6.19,4.11,20.04,122.47,1557.36
arts_and_craftmanship,23,1,4.35,4.17,17.16,80.29,1417.11
audio,348,41,11.78,3.84,16.64,149.88,1244.64
auto,3804,278,7.31,4.15,23.86,152.72,2542.41
baby,2794,226,8.09,4.11,24.2,145.4,3326.82
bed_bath_table,9240,689,7.46,4.0,22.15,112.13,2215.64
books_general_interest,495,32,6.46,4.53,18.06,91.69,753.43
books_imported,50,2,4.0,4.44,15.03,88.63,627.5
books_technical,256,21,8.2,4.43,16.71,73.71,1021.93
cds_dvds_musicals,12,0,0.0,4.67,18.75,60.83,550.0
christmas_supplies,125,10,8.0,4.11,25.57,70.03,2113.26
cine_photo,63,4,6.35,4.33,19.98,109.5,1244.34
computers,176,10,5.68,4.24,54.83,1234.63,6750.91
computers_accessories,6520,417,6.4,4.08,22.2,136.85,916.94
consoles_games,1016,62,6.1,4.18,18.84,146.07,462.73
construction_tools_construction,731,54,7.39,4.14,28.08,195.97,3155.04
construction_tools_lights,237,16,6.75,4.18,32.21,186.18,4020.32
construction_tools_safety,155,4,2.58,4.0,25.47,252.91,884.29
cool_stuff,3516,209,5.94,4.23,23.09,172.77,2611.71
costruction_tools_garden,186,10,5.38,4.28,27.41,128.25,2403.63
costruction_tools_tools,97,6,6.19,4.43,20.93,163.96,1190.22
diapers_and_hygiene,25,0,0.0,3.96,21.82,60.03,728.0
drinks,285,15,5.26,4.25,19.36,77.36,821.5
dvds_blu_ray,55,4,7.27,4.18,22.17,82.87,498.18
electronics,2509,192,7.65,4.13,18.35,62.3,772.2
fashio_female_clothing,36,2,5.56,3.92,16.73,75.0,610.42
fashion_bags_accessories,1816,102,5.62,4.24,16.93,82.48,385.23
fashion_childrens_clothes,5,0,0.0,5.0,12.43,87.99,360.0
fashion_male_clothing,106,5,4.72,3.82,19.46,98.61,587.34
fashion_shoes,233,11,4.72,4.29,20.53,98.42,1076.97
fashion_sport,24,1,4.17,4.54,22.24,82.07,375.0
fashion_underwear_beach,117,11,9.4,4.01,15.85,79.54,283.55
fixed_telephony,212,10,4.72,3.97,21.34,261.3,549.71
flowers,27,1,3.7,4.54,17.35,37.9,1698.15
food,436,31,7.11,4.32,16.11,65.53,666.3
food_drink,220,8,3.64,4.44,20.21,68.56,1232.33
furniture_bedroom,88,6,6.82,4.26,48.72,212.97,9961.93
furniture_decor,6208,446,7.18,4.07,27.23,115.25,2812.08
furniture_living_room,403,31,7.69,4.11,43.15,164.86,7910.13
furniture_mattress_and_upholstery,37,5,13.51,3.89,42.74,116.85,7471.62
garden_tools,3411,225,6.6,4.19,28.21,137.84,2989.1
health_beauty,8621,649,7.53,4.23,20.79,143.23,1075.12
home_appliances,747,33,4.42,4.22,19.37,105.53,1941.46
home_appliances_2,226,14,6.19,4.16,45.15,477.01,9040.12
home_comfort_2,23,3,13.04,3.95,18.48,36.06,867.59
home_confort,346,35,10.12,3.95,22.55,154.35,3105.37
home_construction,460,29,6.3,4.09,27.72,171.56,3297.77
housewares,5671,308,5.43,4.21,25.07,108.07,3345.99
industry_commerce_and_business,229,16,6.99,4.24,32.94,166.93,6533.61
kitchen_dining_laundry_garden_furniture,236,11,4.66,4.13,48.29,192.06,8713.46
la_cuisine,11,0,0.0,4.55,29.33,172.18,4295.45
luggage_accessories,1011,43,4.25,4.38,29.74,136.8,5802.86
market_place,264,11,4.17,4.13,19.59,102.95,1154.67
music,37,2,5.41,4.3,18.57,165.92,1719.54
musical_instruments,606,46,7.59,4.24,29.5,303.87,3201.61
office_furniture,1244,101,8.12,3.65,53.6,214.8,11316.11
party_supplies,37,0,0.0,4.08,21.81,118.52,2220.27
perfumery,3070,202,6.58,4.26,17.26,127.04,496.33
pet_shop,1679,86,5.12,4.28,23.18,126.05,3008.32
security_and_services,2,0,0.0,2.5,20.61,141.64,812.5
signaling_and_security,137,6,4.38,4.14,47.13,155.03,3801.7
small_appliances,604,29,4.8,4.27,25.22,300.39,3086.22
small_appliances_home_oven_and_coffee,72,4,5.56,4.43,36.89,647.08,4963.08
sports_leisure,7478,493,6.59,4.24,21.77,127.41,1748.69
stationery,2241,148,6.6,4.3,20.31,99.47,2848.38
tablets_printing_image,76,4,5.26,4.16,15.9,95.73,306.45
telephony,4071,291,7.15,4.06,16.98,75.89,257.36
toys,3759,241,6.41,4.25,20.0,124.31,1896.31
watches_gifts,5455,406,7.44,4.13,17.9,212.69,590.17
