customer_state,total_orders,late_orders,late_delivery_rate_percent,avg_delivery_days,avg_delay_days,avg_review_score,avg_freight_value
AC,80,3,3.75,20.64,-20.73,4.09,45.55
AL,397,85,21.41,24.04,-8.71,3.85,38.58
AM,145,4,2.76,25.99,-19.57,4.24,37.45
AP,67,2,2.99,26.73,-19.69,4.24,41.3
BA,3256,396,12.16,18.87,-10.79,3.93,29.96
CE,1279,176,13.76,20.82,-10.8,3.94,36.5
DF,2080,118,5.67,12.51,-12.05,4.13,23.86
ES,1995,214,10.73,15.33,-10.5,4.08,24.57
GO,1957,128,6.54,15.15,-12.19,4.1,26.25
MA,717,125,17.43,21.12,-9.57,3.83,42.95
MG,11354,519,4.57,11.54,-13.24,4.19,23.46
MS,701,68,9.7,15.19,-11.05,4.16,27.02
MT,886,53,5.98,17.59,-14.36,4.15,32.77
PA,946,106,11.21,23.32,-14.07,3.91,39.7
PB,517,54,10.44,19.95,-13.26,4.08,48.84
PE,1593,153,9.6,17.97,-13.29,4.08,35.83
PI,476,66,13.87,18.99,-11.31,3.99,42.98
PR,4923,199,4.04,11.53,-13.31,4.24,23.49
RJ,12350,1495,12.11,14.85,-11.76,3.97,23.95
RN,474,44,9.28,18.82,-13.65,4.15,39.26
RO,243,7,2.88,18.91,-20.1,4.17,46.43
RR,41,5,12.2,28.98,-17.29,3.9,48.34
RS,5345,325,6.08,14.82,-13.91,4.19,24.8
SC,3546,291,8.21,14.48,-11.5,4.13,24.85
SE,335,51,15.22,21.03,-10.02,3.91,40.94
SP,40501,1820,4.49,8.3,-11.08,4.25,17.33
TO,274,27,9.85,17.23,-12.13,4.15,42.35
